index;Species;Region;Subfamily;Lineage;IUCN_status;Pop_trend;Size_M_t;Size_F_t;Size_M_nt;Size_F_nt;Mass_M;Mass_F;Gestation;Litter_size;Lifespan;Census_size;Density;Range;Size_M_nt_sp;Mass_M_sp;Gestation_sp;Litter_size_sp;Lifespan_sp;Census_sp;Density_sp;Range_sp
;Acinonyx jubatus;;Felinae;Puma;Vulnerable;Decreasing;189.5;196;121.75;128.25;40.0625;36.875;92;4.5;13;6097;0.18;5067579;121.75;40.0625;92;4.5;13;6097;0.18;5067579
30;Acinonyx jubatus hecki;Sahara;Felinae;Puma;Critically Endangered;Decreasing;151;151;91;91;32.5;32.5;;;;419;0.023;1963422;121.75;40.0625;92;4.5;13;6097;0.18;5067579
28;Acinonyx jubatus jubatus;South and East Africa;Felinae;Puma;Vulnerable;Decreasing;199;191.5;130;122.5;46.25;36;;;;5097;0.43;2557147;121.75;40.0625;92;4.5;13;6097;0.18;5067579
29;Acinonyx jubatus soemmeringii;Sudan;Felinae;Puma;Vulnerable;Decreasing;197.5;197.5;125;125;50;50;;;;531;0.1;261622;121.75;40.0625;92;4.5;13;6097;0.18;5067579
31;Acinonyx jubatus venaticus;Asia;Felinae;Puma;Critically Endangered;Decreasing;210.5;244;141;174.5;31.5;29;;;;50;;281729;121.75;40.0625;92;4.5;13;6097;0.18;5067579
;Caracal aurata;;Felinae;Caracal;Vulnerable;Decreasing;109.1;100.1;78;69;11;7.2;75;2;12;;10.5;4155930;78;11;75;2;12;;10.5;4155930
70;Caracal aurata aurata;;Felinae;Caracal;Vulnerable;Decreasing;109;100;78;69;;7.2;;;;;;3572461;78;11;75;2;12;;10.5;4155930
71;Caracal aurata celidogaster;;Felinae;Caracal;Vulnerable;Decreasing;109.2;100.2;78;69;;7.2;;;;;;583467;78;11;75;2;12;;10.5;4155930
;Caracal caracal;;Felinae;Caracal;Least Concern;Unknown;110.75;101.75;85.16666667;76.16666667;12.78333333;10.31666667;80.33333333;2.5;18;;35;17386849;85.16666667;12.78333333;80.33333333;2.5;18;;35;17386849
67;Caracal caracal caracal;;Felinae;Caracal;Least Concern;Unknown;119;114;91.5;86.5;17.6;11.45;;;;;;8575338;85.16666667;12.78333333;80.33333333;2.5;18;;35;17386849
68;Caracal caracal nubicus;;Felinae;Caracal;Least Concern;Unknown;100.5;100.5;75.5;75.5;11.95;11.95;;;;;;5861550;85.16666667;12.78333333;80.33333333;2.5;18;;35;17386849
69;Caracal caracal schmitzi;;Felinae;Caracal;Near Threatened;Unknown;112.75;90.75;88.5;66.5;8.8;7.55;;;;;;2949959;85.16666667;12.78333333;80.33333333;2.5;18;;35;17386849
99;Catopuma badia;;Felinae;Bay cat;Endangered;Decreasing;95.5;95.5;59.5;59.5;4;4;;;;3300;1;271849;59.5;4;;;;3300;1;271849
;Catopuma temminckii;;Felinae;Bay cat;Near Threatened;Decreasing;128.125;122.125;81.75;75.75;11.425;8.3;79.5;1.5;17;;;340740;81.75;11.425;79.5;1.5;17;;;340740
98;Catopuma temminckii moormensis;;Felinae;Bay cat;Near Threatened;Decreasing;142.25;130.25;92;80;13.85;8.5;;;;;;292575;81.75;11.425;79.5;1.5;17;;;340740
97;Catopuma temminckii temminckii;;Felinae;Bay cat;Near Threatened;Decreasing;114;114;71.5;71.5;9;8.1;;;;;;48164;81.75;11.425;79.5;1.5;17;;;340740
78;Felis bieti;;Felinae;Wildcat;Vulnerable;Decreasing;104;104;72;72;7.25;7.25;60;3;;24717.5;5.5;945036;72;7.25;60;3;;24717.5;5.5;945036
74;Felis catus;;Felinae;Wildcat;Domesticated;;77;77;50;50;5.5;3.5;64;4;12.5;;;;50;5.5;64;4;12.5;;;
;Felis chaus;;Felinae;Wildcat;Least Concern;Decreasing;90.16666667;90.16666667;65.66666667;65.66666667;8.833333333;7.733333333;65.5;2.5;9.5;10807;57.5;7423422;65.66666667;8.833333333;65.5;2.5;9.5;10807;57.5;7423422
80;Felis chaus affinis;;Felinae;Wildcat;Least Concern;Decreasing;85;85;62;62;8.5;8.5;;;;;;3739355;65.66666667;8.833333333;;2.5;;10807;57.5;7423422
79;Felis chaus chaus;;Felinae;Wildcat;Least Concern;Decreasing;95;95;68;68;9;5.7;;;;;;2221485;65.66666667;8.833333333;;2.5;;10807;57.5;7423422
81;Felis chaus fulvidina;;Felinae;Wildcat;Critically Endangered;Decreasing;90.5;90.5;67;67;9;9;;;;;;1462579;65.66666667;8.833333333;;2.5;;10807;57.5;7423422
;Felis lybica;;Felinae;Wildcat;Least Concern;Unknown;82.98333333;78.33333333;53.16666667;48.5;4.266666667;3.616666667;61;3;16;;5.5;29598873;53.16666667;4.266666667;61;3;16;;5.5;29598873
76;Felis lybica cafra;;Felinae;Wildcat;Least Concern;Unknown;90.95;84.5;60.5;54;5.1;3.95;;;;;;6905128;53.16666667;4.266666667;61;3;16;;5.5;29598873
75;Felis lybica lybica;;Felinae;Wildcat;Least Concern;Unknown;76.5;76.5;45.5;45.5;4.2;4.2;;;;;;15158422;53.16666667;4.266666667;61;3;16;;5.5;29598873
77;Felis lybica ornata;;Felinae;Wildcat;Least Concern;Unknown;81.5;74;53.5;46;3.5;2.7;;;;;;7535319;53.16666667;4.266666667;61;3;16;;5.5;29598873
;Felis margarita;;Felinae;Wildcat;Least Concern;Unknown;74.5;70.5;47;43;2.3875;1.7;63;3;;40896;2.9;4632327;47;2.3875;63;3;;40896;2.9;4632327
82;Felis margarita margarita;;Felinae;Wildcat;Least Concern;Unknown;69.75;66.75;43.5;40.5;2.525;1.6;;;;;;2714355;47;2.3875;63;3;;40896;2.9;4632327
83;Felis margarita thinobia;;Felinae;Wildcat;Least Concern;Unknown;79.25;74.25;50.5;45.5;2.25;1.8;;;;;;1917966;47;2.3875;63;3;;40896;2.9;4632327
84;Felis nigripes;;Felinae;Wildcat;Vulnerable;Decreasing;60.5;54;44.5;38;2;1.3;65.5;2;7;13867;3;1964483;44.5;2;65.5;2;7;13867;3;1964483
;Felis silvestris;;Felinae;Wildcat;Least Concern;Unknown;100;90.5;68;58.5;6;5.05;67.5;3;10;210000;10;1928504;68;6;67.5;3;10;210000;10;1928504
73;Felis silvestris caucasica;;Felinae;Wildcat;Least Concern;Unknown;101.5;91;69;58.5;6.6;6.6;;;;;;330948;68;6;67.5;3;10;210000;10;1928504
72;Felis silvestris silvestris;;Felinae;Wildcat;Least Concern;Unknown;98.5;90;67;58.5;5.4;3.5;;;;;;1597554;68;6;67.5;3;10;210000;10;1928504
26;Herpailurus yagouaroundi;;Felinae;Puma;Least Concern;Decreasing;113.25;101.25;70;58;5.3;5.25;73.5;2;15;;8.7;15024348;70;5.3;73.5;2;15;;8.7;15024348
;Leopardus colocola;;Felinae;Ocelot;Near Threatened;Decreasing;87.88571429;82.31428571;59.81428571;54.24285714;3.02;3.02;82.5;2;13.5;;12.5;4826103;59.81428571;3.02;82.5;2;13.5;;12.5;4826103
46;Leopardus colocola braccatus;;Felinae;Ocelot;Near Threatened;Decreasing;79;79;51;51;3.3;3.3;;;;;9;1378825;59.81428571;3.02;82.5;2;13.5;;12.5;4826103
;Leopardus colocola budini;;Felinae;Ocelot;Near Threatened;Decreasing;90.5;79.5;65;54;2.5;2.5;;;;;76;;59.81428571;3.02;82.5;2;13.5;;12.5;4826103
44;Leopardus colocola colocola;;Felinae;Ocelot;Vulnerable;Decreasing;92.6;92.6;61.85;61.85;3;3;;;;;;158015;59.81428571;3.02;82.5;2;13.5;;12.5;4826103
49;Leopardus colocola garleppi;;Felinae;Ocelot;Near Threatened;Decreasing;89.25;75.25;63;49;;;;;;;76;1664982;59.81428571;3.02;82.5;2;13.5;;12.5;4826103
47;Leopardus colocola munoai;;Felinae;Ocelot;Near Threatened;Decreasing;82;82;53;53;3.3;3.3;;;;;9;343713;59.81428571;3.02;82.5;2;13.5;;12.5;4826103
