sequence_id	individual_id	Folder	simple_id	supplier_id	seq_depth	subset	exclude	genus	sex	clade	location	sublocation	undescribed	source	calcua_read_location	seq_source	read_type	calcua_alignment_location_fAstCal1.2	study	study_id
SRR2737545	Aci_jub_AJU173	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR2737545_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR2737545_2.fastq.gz		fqz_1_2		Felidhet	
SRR2737512	Aci_jub_Chewbacca	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR2737512_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR2737512_2.fastq.gz		fqz_1_2		Felidhet	
SRR2737516	Aci_jub_Chewbacca	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR2737516_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR2737516_2.fastq.gz		fqz_1_2		Felidhet	
SRR2737517	Aci_jub_Chewbacca	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR2737517_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR2737517_2.fastq.gz		fqz_1_2		Felidhet	
SRR2737519	Aci_jub_Chewbacca	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR2737519_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR2737519_2.fastq.gz		fqz_1_2		Felidhet	
SRR2737521	Aci_jub_Chewbacca	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR2737521_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR2737521_2.fastq.gz		fqz_1_2		Felidhet	
SRR2737523	Aci_jub_Chewbacca	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR2737523_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR2737523_2.fastq.gz		fqz_1_2		Felidhet	
SRR19760964	Aci_jub_DZ_ID42	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR19760964_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR19760964_2.fastq.gz		fqz_1_2		Felidhet	
SRR19760963	Aci_jub_EH_ID75	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR19760963_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR19760963_2.fastq.gz		fqz_1_2		Felidhet	
SRR9951918	Aci_jub_Rico	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR9951918_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR9951918_2.fastq.gz		fqz_1_2		Felidhet	
SRR9951919	Aci_jub_Rico	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR9951919_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR9951919_2.fastq.gz		fqz_1_2		Felidhet	
SRR12378067	Car_car_CarCar1.0	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR12378067_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR12378067_2.fastq.gz		fqz_1_2		Felidhet	
SRR12378070	Car_car_CarCar1.0	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR12378070_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR12378070_2.fastq.gz		fqz_1_2		Felidhet	
SRR6071632	Cat_bad_PBA2	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR6071632_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR6071632_2.fastq.gz		fqz_1_2		Felidhet	
SRR6071641	Cat_tem_PTE8	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR6071641_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR6071641_2.fastq.gz		fqz_1_2		Felidhet	
SRR7621226	Fel_bie_FBIP0004	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR7621226_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR7621226_2.fastq.gz		fqz_1_2		Felidhet	
